City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Aanekoski,FI,62.6946,25.818,15.8,86,90,9.22,overcast clouds
330,Manado,ID,1.487,124.8455,78.8,89,40,3.44,scattered clouds
331,Oranjestad,AW,12.524,-70.027,78.8,73,20,21.85,few clouds
332,Verkh-Usugli,RU,52.7,115.1667,-11.22,84,15,1.68,few clouds
333,Kamenka,RU,51.3223,42.7678,6.01,83,99,11.99,overcast clouds
334,Lillehammer,NO,61.1146,10.4674,9.59,84,53,4.56,broken clouds
335,Kedrovyy,RU,56.1667,91.8167,24.8,80,40,8.95,scattered clouds
336,Sosua,DO,19.7667,-70.5167,75.2,88,20,13.8,few clouds
337,Rabat,MA,33.9911,-6.8401,51.01,100,75,12.66,broken clouds
338,Nampa,US,43.5407,-116.5635,51.8,34,75,6.91,broken clouds
339,Arkhangelsk,RU,64.5401,40.5433,-5.8,77,90,5.77,overcast clouds
340,Saint George,US,37.1041,-113.5841,57.2,17,1,11.5,clear sky
341,Tecoanapa,MX,16.5167,-98.75,78.96,70,0,8.3,clear sky
342,Bilma,NE,18.6853,12.9164,60.06,29,24,5.91,few clouds
343,Nanortalik,GL,60.1432,-45.2371,24.17,87,100,9.69,overcast clouds
